word,count
the,7
a,6
and,6
to,5
you,5
machine,4
student,3
day,3
little,2
replace,2
i,2
was,2
that,2
world,2
meant,2
of,2
learn,2
it,2
in,1
pages,1
art,1
creating,1
together,1
sense,1
time,1
every,1
small,1
grew,1
once,1
silence,1
powerful,1
on,1
smarter,1
asked,1
solving,1
problems,1
screen,1
never,1
me,1
ever,1
smiled,1
but,1
will,1
trying,1
worked,1
help,1
how,1
could,1
make,1
learned,1
cook,1
drive,1
dream,1
teaching,1
from,1
upon,1
others,1
numbers,1
better,1
are,1
wrote,1
people,1
remind,1
read,1
thousands,1
songs,1
curious,1
one,1
built,1
imagine,1
kinder,1
when,1
